index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
1754,Illinois,2018-19,McNair Elementary,,Chicago,Cook,,391.0,98.20971867,-1.0,,0.26,
144,South Dakota,2017-18,Rockport Colony Elementary,,,Davison,,2.0,100.0,-1.0,,,
1682,Illinois,2018-19,Unity West,,Tolono,Champaign,,410.0,98.29268293,-1.0,1.22,0.24,
372,Iowa,2018-19,North Butler Elementary,,,Butler,,309.0,-1.0,97.1,,,
1523,Ohio,2018-19,Hannah Gibbons-Nottingham Elementary,Public,Cleveland,Cuyahoga,,25.0,88.0,84.0,,4.0,
4259,California,2018-19,Oneonta Elementary,Public,Imperial Beach,San Diego,,83.0,96.0,96.0,,1.0,
708,Texas,2018-19,Abiding Word Lutheran,,,Harris,,,76.92,-1.0,,,
1472,New Jersey,,Navesink Elementary,,,Monmouth,,37.0,-1.0,94.6,5.4,,
3422,New York,2017-18,Andalusia,Private,Yonkers,Westchester,,,75.3,-1.0,1.12,,
18,North Dakota,2017-18,Eight Mile Elementary,,Trenton,Williams ,,30.0,100.0,-1.0,,,
205,Arkansas,2018-19,Beebe Elementary,,Beebe,,,1005.0,83.78109,-1.0,,,
209,New Jersey,,Gloucester Township Elementary,,,Camden,,28.0,-1.0,100.0,,,
425,Utah,2017-18,Kings Peak Elementary,Public,Roosevelt,Duchesne,,463.0,94.82,-1.0,0.22,0.22,4.75
1118,Arizona,2018-19,Carden Of Tucson,Charter,Tucson,Pima,,,-1.0,-1.0,,,
430,Tennessee,2018-19,Clarksburg,,,Carroll ,,27.0,-1.0,96.3,,,
5103,California,2018-19,Palisades Elementary,Public,Capistrano Beach,Orange,,57.0,95.0,93.0,,,
126,Minnesota,2017-18,St Michael,,,Mahnomen,,6.0,100.0,-1.0,,,
224,Maine,2018-19,Lewis S. Libby,,,Penobscot,,29.0,93.1,-1.0,,3.45,3.45
2378,Illinois,2018-19,Brookview Elementary,,Rockford,Winnebago,,559.0,97.31663685,-1.0,1.61,0.36,
